net_pnl,cagr,total_return,sharpe_ratio,sortino_ratio,mar_ratio,max_drawdown,max_drawdown_pct,longest_flat_spell_days,current_drawdown,profit_factor,expectancy,hit_rate,avg_r_per_win,avg_r_per_loss,slippage_pct,fill_ratio,avg_holding_time_hours,total_trades,winning_trades,losing_trades,walk_forward_degradation,monte_carlo_5th_percentile,avg_order_book_impact_pct,max_order_book_impact_pct,start_date,end_date,initial_balance,final_balance,symbol,timeframe,market_regime
-622.9223403099943,-0.9331689666097359,-0.06453647345659465,-25.5387639332591,-52.62183281745476,0,0,0,0,0.0,0.003816416926704919,-17.797781151714123,0.11428571428571428,0.5966097524533259,-20.17125094580024,0.014555552029934292,0.0,8.438095238095238,35,4,31,0.0,0.0,0.0,0.0,2025-06-21 16:55:00,2025-06-30 21:45:00,10000.0,9354.635265434054,SOL,5m,BULL_TREND
-633.9500683546307,-0.936267136000837,-0.06563072194825235,-25.67747902635633,-54.51361212398001,0,0,0,0,0.0,0.004678529986743293,-18.11285909584659,0.11428571428571428,0.744973984348895,-20.546127880387946,0.015850049623911497,0.0,8.454761904761904,35,4,31,0.0,0.0,0.0,0.0,2025-06-21 16:55:00,2025-06-30 21:50:00,10000.0,9343.692780517476,SOL,5m,BEAR_TREND
-621.757224211506,-0.9300141277746651,-0.06347191895523592,-25.543734024494206,-53.31755868515893,0,0,0,0,0.0,0.003856600782682898,-17.764492120328743,0.11428571428571428,0.6017882062504449,-20.134334743113158,0.014184339966632015,0.0,8.438095238095238,35,4,31,0.0,0.0,0.0,0.0,2025-06-21 16:55:00,2025-06-30 21:45:00,10000.0,9365.28081044764,SOL,5m,RANGE_BOUND
-627.4532707830222,-0.9344617143963139,-0.06498691889604724,-25.55008219122101,-53.18920679328744,0,0,0,0,0.0,0.004560779088917541,-17.927236308086346,0.11428571428571428,0.7186967563024478,-20.333163155104256,0.016636386728751784,0.0,8.466666666666667,35,4,31,0.0,0.0,0.0,0.0,2025-06-21 16:55:00,2025-06-30 21:45:00,10000.0,9350.130811039528,SOL,5m,HIGH_VOLATILITY
-610.4016218309097,-0.9266920137454663,-0.06240036617534006,-25.673810033798883,-53.20083127200854,0,0,0,0,0.0,0.0038663719776754215,-17.44004633802599,0.11428571428571428,0.5922999835022555,-19.766800702094155,0.013106788489435289,0.0,8.452380952380953,35,4,31,0.0,0.0,0.0,0.0,2025-06-21 16:55:00,2025-06-30 21:45:00,10000.0,9375.9963382466,SOL,5m,BEAR_TREND
-12746.320637477447,2.642641669202151,0.9879098662859371,-3.3983850018511865,-7.341333153955471,0,0,0,0,0.0,0.5889406271112527,-10.422175500799222,0.42354865085854454,35.25510710887395,-43.983639886346296,0.01504081254539673,0.0,13.22812755519215,1223,518,705,0.0,0.0,0.0,0.0,2024-12-12 18:00:00,2025-06-25 01:00:00,10000.0,19879.09866285937,BTC,1h,BULL_TREND
-12617.785873260298,2.702868501362678,1.0053121949366335,-3.4024052102977933,-7.335434374817187,0,0,0,0,0.0,0.596813133043155,-10.3170775742112,0.42354865085854454,36.05665108413333,-44.390256928853006,0.015150588445323031,0.0,13.256745707277187,1223,518,705,0.0,0.0,0.0,0.0,2024-12-12 18:00:00,2025-06-25 01:00:00,10000.0,20053.121949366334,BTC,1h,BEAR_TREND
-12619.863881144825,2.6370085712959983,0.9862753328262978,-3.3748738692921765,-7.2717548994718095,0,0,0,0,0.0,0.5929132542340363,-10.318776681230437,0.4243663123466885,35.415347628135926,-44.0347007104366,0.014939732802624311,0.0,13.253475061324611,1223,519,704,0.0,0.0,0.0,0.0,2024-12-12 18:00:00,2025-06-25 01:00:00,10000.0,19862.753328262977,BTC,1h,RANGE_BOUND
-12806.411142616384,2.566638484783113,0.9657554557106589,-3.4460497712138656,-7.3047147944632185,0,0,0,0,0.0,0.5857032979374083,-10.471309192654443,0.4219133278822568,35.08681379751643,-43.72165072437742,0.014935781593314495,0.0,13.244480784955028,1223,516,707,0.0,0.0,0.0,0.0,2024-12-12 18:00:00,2025-06-25 01:00:00,10000.0,19657.55455710659,BTC,1h,HIGH_VOLATILITY
-12847.607064808566,2.5276826711299347,0.9543143701039815,-3.423140092618916,-7.371601610280357,0,0,0,0,0.0,0.5846912361164738,-10.504993511699563,0.4243663123466885,34.85060937175209,-43.94186552378955,0.015094095304710326,0.0,13.255110384300899,1223,519,704,0.0,0.0,0.0,0.0,2024-12-12 18:00:00,2025-06-25 01:00:00,10000.0,19543.143701039815,BTC,1h,BULL_TREND
902.8350037445139,3966849.809100173,0.08681561044140526,26.066122213921716,345.0092894786239,0,0,0,0,0.0,471.95691576005873,25.795285821271825,0.9428571428571428,27.41672806799639,-0.958511249683492,0.01613238088767931,0.0,5.949999999999999,35,33,2,0.0,0.0,0.0,0.0,2025-06-20 13:20:00,2025-06-22 17:40:00,10000.0,10868.156104414053,ETH,5m,BULL_TREND
915.733952859915,4961783.012626906,0.08814914864085385,26.271517017502024,202.99216905448546,0,0,0,0,0.0,465.6171267926671,26.163827224569,0.9428571428571428,27.809239273643104,-0.9854715851537651,0.01633013358638578,0.0,6.135714285714285,35,33,2,0.0,0.0,0.0,0.0,2025-06-20 13:20:00,2025-06-22 17:40:00,10000.0,10881.491486408539,ETH,5m,BEAR_TREND
